,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Michigan,"9,883,640","9,884,116","9,877,510","9,882,412","9,897,145","9,913,065","9,929,848","9,931,715","9,950,571","9,973,114","9,984,072","9,986,857"
"Alcona County, Michigan","10,942","10,943","10,879","10,743","10,573","10,554","10,450","10,330","10,360","10,309","10,360","10,405"
"Alger County, Michigan","9,601","9,601","9,580","9,516","9,451","9,438","9,362","9,255","9,129","9,144","9,118","9,108"
"Allegan County, Michigan","111,408","111,400","111,523","111,163","111,499","112,009","113,349","114,112","114,979","116,368","117,173","118,081"
"Alpena County, Michigan","29,598","29,594","29,510","29,340","29,166","28,957","28,882","28,722","28,663","28,428","28,384","28,405"
"Antrim County, Michigan","23,580","23,574","23,491","23,320","23,245","23,123","23,147","23,035","23,079","23,270","23,323","23,324"
"Arenac County, Michigan","15,899","15,903","15,852","15,634","15,502","15,413","15,319","15,307","15,138","15,014","15,008","14,883"
"Baraga County, Michigan","8,860","8,866","8,861","8,836","8,726","8,718","8,650","8,585","8,546","8,441","8,324","8,209"
"Barry County, Michigan","59,173","59,177","59,095","58,923","59,023","59,090","59,295","59,426","59,810","60,682","61,231","61,550"
"Bay County, Michigan","107,771","107,773","107,679","107,417","106,967","106,794","106,046","105,237","104,411","104,045","103,702","103,126"
"Benzie County, Michigan","17,525","17,526","17,505","17,389","17,328","17,348","17,473","17,390","17,534","17,624","17,761","17,766"
"Berrien County, Michigan","156,813","156,808","156,737","156,885","156,621","156,129","155,977","155,022","154,325","154,128","153,790","153,401"
"Branch County, Michigan","45,248","45,242","45,174","43,923","43,792","43,587","43,733","43,639","43,466","43,375","43,566","43,517"
"Calhoun County, Michigan","136,146","136,150","135,951","135,105","134,737","134,751","134,804","134,327","134,344","134,180","134,049","134,159"
"Cass County, Michigan","52,293","52,289","52,247","52,204","51,804","51,585","51,562","51,342","51,282","51,481","51,725","51,787"
"Charlevoix County, Michigan","25,949","25,955","25,935","26,104","26,190","26,252","26,213","26,210","26,190","26,212","26,187","26,143"
"Cheboygan County, Michigan","26,152","26,145","26,062","25,886","25,743","25,573","25,638","25,399","25,455","25,454","25,504","25,276"
"Chippewa County, Michigan","38,520","38,672","38,616","38,890","38,993","38,569","38,254","37,973","37,683","37,679","37,461","37,349"
"Clare County, Michigan","30,926","30,924","31,006","31,001","30,796","30,600","30,730","30,616","30,387","30,565","30,735","30,950"
"Clinton County, Michigan","75,382","75,364","75,403","75,899","76,166","76,809","76,954","77,009","77,617","78,506","79,219","79,595"
"Crawford County, Michigan","14,074","14,081","14,055","14,039","13,951","13,877","13,739","13,853","13,768","13,906","13,905","14,029"
"Delta County, Michigan","37,069","37,069","37,047","36,943","36,836","36,799","36,580","36,415","36,196","35,890","35,843","35,784"
"Dickinson County, Michigan","26,168","26,168","26,158","26,068","26,172","26,015","25,898","25,661","25,499","25,424","25,371","25,239"
