,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wisconsin,"5,686,986","5,687,285","5,690,475","5,705,288","5,719,960","5,736,754","5,751,525","5,760,940","5,772,628","5,790,186","5,807,406","5,822,434"
"Adams County, Wisconsin","20,875","20,867","20,878","20,769","20,417","20,413","20,125","20,028","19,982","19,900","20,341","20,220"
"Ashland County, Wisconsin","16,157","16,157","16,143","16,029","15,838","15,970","15,995","15,804","15,633","15,501","15,587","15,562"
"Barron County, Wisconsin","45,870","45,873","45,814","45,890","45,777","45,581","45,349","45,367","45,242","45,141","45,150","45,244"
"Bayfield County, Wisconsin","15,014","15,008","15,000","15,059","15,057","15,113","14,973","14,976","14,923","15,006","15,026","15,036"
"Brown County, Wisconsin","248,007","248,003","248,476","250,481","252,682","254,211","256,202","257,856","259,514","261,762","263,165","264,542"
"Buffalo County, Wisconsin","13,587","13,588","13,551","13,440","13,343","13,365","13,231","13,245","13,134","13,105","13,114","13,031"
"Burnett County, Wisconsin","15,457","15,458","15,430","15,464","15,340","15,269","15,232","15,142","15,222","15,295","15,374","15,414"
"Calumet County, Wisconsin","48,971","48,981","49,040","49,622","49,653","49,648","49,479","49,818","49,607","49,995","50,132","50,089"
"Chippewa County, Wisconsin","62,415","62,502","62,638","62,948","63,053","63,088","63,333","63,421","63,523","63,747","64,109","64,658"
"Clark County, Wisconsin","34,690","34,691","34,683","34,683","34,445","34,538","34,355","34,358","34,485","34,571","34,705","34,774"
"Columbia County, Wisconsin","56,833","56,859","56,860","56,713","56,479","56,581","56,648","56,682","56,875","57,244","57,333","57,532"
"Crawford County, Wisconsin","16,644","16,644","16,633","16,680","16,517","16,392","16,348","16,328","16,250","16,199","16,265","16,131"
"Dane County, Wisconsin","488,073","488,081","489,218","496,009","502,902","509,762","516,282","523,000","531,296","537,453","541,948","546,695"
"Dodge County, Wisconsin","88,759","88,750","88,728","88,389","88,148","87,933","88,071","87,816","87,382","87,705","87,833","87,839"
"Door County, Wisconsin","27,785","27,785","27,750","27,766","27,536","27,609","27,470","27,311","27,338","27,454","27,589","27,668"
"Douglas County, Wisconsin","44,159","44,159","44,134","43,958","43,751","43,760","43,643","43,495","43,359","43,328","43,143","43,150"
"Dunn County, Wisconsin","43,857","43,865","43,887","43,800","43,806","44,046","44,075","44,267","44,354","44,714","45,091","45,368"
"Eau Claire County, Wisconsin","98,736","98,881","99,017","99,938","100,839","101,734","101,690","102,080","102,907","103,582","104,355","104,646"
"Florence County, Wisconsin","4,423","4,423","4,398","4,382","4,366","4,383","4,344","4,338","4,313","4,335","4,294","4,295"
"Fond du Lac County, Wisconsin","101,633","101,623","101,576","101,810","101,788","101,787","101,977","101,955","102,211","102,417","103,001","103,403"
"Forest County, Wisconsin","9,304","9,304","9,294","9,246","9,157","9,090","9,102","9,004","9,021","8,969","8,977","9,004"
"Grant County, Wisconsin","51,208","51,204","51,233","51,178","50,871","50,994","51,684","52,071","51,985","51,728","51,444","51,439"
"Green County, Wisconsin","36,842","36,839","36,857","36,856","36,760","36,934","36,858","36,931","36,787","36,877","36,924","36,960"
"Green Lake County, Wisconsin","19,051","19,044","19,015","19,055","18,998","18,880","18,751","18,698","18,596","18,720","18,849","18,913"
"Iowa County, Wisconsin","23,687","23,687","23,690","23,581","23,578","23,556","23,581","23,585","23,430","23,676","23,722","23,678"
